0.81323691 8.75228254 9.41706156 2.61864016 0.12101416 0.00000098	(0)
4.21603557 0.25567099 1.67981471 7.49460826 0.84004768 0.00001374	(1)
6.92385151 9.71828707 0.96147308 4.36275453 6.73343886 0.00000513	(2)
9.09509080 3.92874921 3.48809782 3.47939648 4.80884389 1.00059737	(3)
5.84164296 7.77681095 3.77105160 3.12148876 1.10030217 0.00000207	(4)
3.85199868 6.81486885 7.88947362 3.35660532 4.40742293 1.00773833	(5)
2.59205937 6.10259328 3.27150442 9.23942264 6.14268063 0.00010893	(6)
3.82458373 8.42805071 7.83667117 4.49450314 7.14814217 1.01888082	(7)
6.98308716 6.17205195 4.25877011 2.16707398 7.41430710 1.00004721	(8)
2.03952338 3.61674267 4.64503925 2.67898260 2.51132117 0.00013496	(9)
3.96838971 8.89614772 0.72499023 2.65029179 9.30897311 1.00123943	(10)
2.48111085 4.77024110 0.45590736 2.87878534 9.80967656 0.00000082	(11)
3.62314920 2.90565875 2.73010250 8.01504409 8.87965310 1.12879259	(12)
8.31876058 5.58732737 6.18027792 6.91193002 2.81558049 1.00000495	(13)
3.51182406 3.83023479 7.39574445 4.13705064 9.08211606 1.00578617	(14)
1.86278414 6.08613413 1.64001098 9.55883511 9.08006001 1.00007774	(15)
7.69301905 2.21680817 2.50164165 4.03527889 8.95012894 0.00000447	(16)
1.29986637 1.40407709 3.08546358 2.71641046 4.31180656 1.00060909	(17)
7.61455878 4.31899800 9.91174179 4.23186936 8.95923500 1.00005652	(18)
1.88686050 9.79819673 5.98895891 2.58399926 1.57707940 1.00000013	(19)
0.83073706 6.62013216 1.85122492 1.57157043 3.89546289 0.00000142	(20)
7.59416737 3.12924695 9.56643925 6.89753945 3.85930182 0.00005241	(21)
9.85949751 3.32476093 7.02581819 7.37732424 0.16246173 0.00000025	(22)
7.80618335 9.02170524 5.81508976 4.37229860 1.83600307 1.00000202	(23)
4.55676335 8.51590966 9.02997235 8.64697138 1.58825346 0.00000048	(24)
6.35611303 8.41803988 9.89734419 3.04898962 0.12798865 0.00000000	(25)
2.27831472 2.87264587 1.06131922 3.17516136 2.61527603 0.00000175	(26)
3.44458474 9.42779713 3.58684060 8.62199618 6.50676446 1.00019556	(27)
9.77416703 3.30188309 5.09483262 9.36682036 8.45108921 1.00016110	(28)
4.20391225 5.65649651 9.01022895 9.98960902 9.33990735 0.00000000	(29)
4.29087130 4.10700852 6.97973398 3.58505730 9.71368926 0.00000898	(30)
1.12707461 9.01589327 1.78293673 6.40820538 5.21191136 0.00000638	(31)
3.16842106 7.85021752 7.77556629 9.83529826 6.86969968 1.00017737	(32)
4.88862172 2.49453766 6.22594660 6.05702445 2.16901078 1.01430704	(33)
7.31997719 2.66363073 3.01356198 7.76709682 9.06314290 0.00000815	(34)
9.30333290 8.31494309 7.78537967 0.34432416 4.02830506 0.00014577	(35)
7.58651660 2.96359408 9.89552644 9.80432623 2.61516180 1.00005119	(36)
8.32031004 3.63749283 7.83587938 5.42372720 7.88235142 1.00000084	(37)
2.88855860 6.43299876 9.67831669 8.39792313 6.02233365 0.00013886	(38)
9.95875529 2.06061413 5.55889462 9.77473751 2.23392319 0.00000004	(39)
7.69638681 3.66537189 8.35621097 0.01912208 7.39940050 0.00000481	(40)
5.44709845 0.95286228 1.06151075 9.11955705 3.46751671 1.00000502	(41)
5.53009909 9.36069815 7.80326414 4.79378351 3.76460147 1.00031223	(42)
4.14557780 0.93321657 5.88045382 0.74078911 5.80459222 1.00022868	(43)
8.54314521 8.08993122 8.80325433 9.88606916 6.62066018 0.00001670	(44)
8.24437819 0.63144549 3.05583661 8.37460894 5.51228650 0.00005482	(45)
6.01103175 6.86902173 6.01133475 7.98448507 1.78991262 1.00003379	(46)
9.20335336 9.89750579 5.45505333 5.46029448 0.02895806 0.00000000	(47)
1.54217742 4.87266360 5.28283648 5.34086819 8.40563144 1.08441708	(48)
0.38483032 1.16788507 6.13224513 3.39718884 4.60490871 1.00053552	(49)
8.77563722 7.20885532 1.88240990 4.52696595 2.12437093 1.00000151	(50)
8.73264089 7.17491499 6.20304575 3.75598850 6.92651884 1.00045226	(51)
2.51819432 8.61125251 1.16690841 8.13554261 0.60917687 1.00015366	(52)
6.17699339 5.27206358 9.63515799 3.48679087 2.19968202 0.00002069	(53)
2.50760166 2.02836752 5.58020684 0.21735429 6.85887607 0.00000002	(54)
8.30051989 1.28478037 2.06698821 0.43716059 3.73833885 0.00012083	(55)
7.88661333 4.87254548 3.62960804 7.04895028 3.00687865 1.00000474	(56)
5.22582536 5.45453888 7.12034426 9.06272141 5.42325574 0.00003691	(57)
5.55685183 3.69298398 0.90171445 4.87557750 6.07121204 1.00197558	(58)
9.10314746 9.25899059 7.31889369 8.87201274 1.98643934 0.00000011	(59)
3.12023133 2.13673268 1.67052797 7.65232878 9.19671703 0.00015028	(60)
4.79945352 9.12936159 0.01920985 6.53831558 2.09969859 0.00000021	(61)
3.62222743 7.56989767 6.86834845 5.02215260 3.86250997 1.00010675	(62)
8.38427154 4.06276456 7.03551554 2.20768214 8.00974981 1.00080888	(63)
1.34738613 1.57711642 0.87379464 5.08143834 7.80132091 0.00003884	(64)
0.61072190 2.93408073 9.37266749 4.81376384 7.26685581 1.02271756	(65)
5.53319858 0.11887082 9.51975424 3.28042616 0.94961614 0.00000010	(66)
5.62013113 7.99562215 4.22326938 8.11430870 9.92298302 1.00165420	(67)
6.36925883 5.90415545 0.82821057 1.24462443 1.10196786 0.00012192	(68)
8.44963944 9.13964324 1.01966807 9.96437036 0.25674134 0.00000782	(69)
5.03944738 2.07302419 4.01714212 3.56174695 7.67684121 0.00000198	(70)
5.91356998 6.58140617 3.97929736 8.90293562 2.56129825 1.00000328	(71)
4.25550076 5.41576994 4.86888644 3.94805140 3.85757593 1.00057430	(72)
3.13220940 0.54366152 1.88144572 0.03670399 2.58020478 0.00000038	(73)
