1	5	10	23	45	72	97	117	101	81	49
1	5	10	25	44	70	94	103	109	90	49
1	5	10	25	45	72	96	108	133	120	49
1	5	8	23	47	71	97	118	119	99	49
1	4	10	23	44	71	96	118	132	104	49
0	5	10	24	47	72	98	98	132	126	49
1	5	7	23	47	70	95	122	80	68	49
1	3	9	23	49	71	96	119	117	107	49
1	5	10	24	49	70	95	117	96	105	49
1	4	9	24	46	71	96	119	133	84	49
1	5	9	23	47	71	94	118	125	65	49
1	4	8	24	46	71	95	119	107	98	49
1	5	10	23	47	69	97	118	133	71	49
1	4	10	24	47	71	96	120	117	84	49
1	5	10	24	47	74	94	118	93	74	49
1	5	10	24	48	71	95	97	120	114	49
1	5	8	24	49	71	89	118	122	113	49
1	5	10	24	50	69	96	109	84	107	49
1	5	9	24	47	72	94	91	100	98	49
1	5	7	22	48	71	96	120	115	90	49
1	4	9	24	48	69	96	118	87	89	49
1	5	10	25	46	68	93	118	132	96	49
1	5	9	23	49	69	94	94	104	79	49
1	5	9	23	48	72	96	91	134	80	49
1	4	9	21	49	70	94	117	96	105	49
1	4	9	25	48	72	92	107	83	122	49
1	5	9	23	47	71	93	118	107	83	49
1	5	8	24	49	67	93	119	113	90	49
1	5	10	22	46	71	94	104	101	78	49
1	5	10	23	47	70	96	118	99	83	49
1	5	10	22	48	73	94	107	119	111	49
1	5	7	22	47	72	95	115	115	58	49
1	5	9	23	46	71	95	106	116	104	49
1	4	10	23	48	72	96	119	91	83	49
1	5	9	24	45	69	94	118	124	65	49
1	5	9	22	47	71	94	117	114	76	49
1	5	10	24	48	69	93	119	108	99	49
1	5	9	25	47	72	92	118	118	91	49
1	5	10	24	47	74	94	121	114	89	49
0	5	10	23	48	70	90	117	108	96	49
1	5	9	25	48	72	90	119	98	97	49
0	5	9	23	43	73	81	117	122	105	49
1	5	10	22	50	69	95	103	118	118	49
1	5	10	24	47	71	96	117	100	84	49
1	2	9	24	47	69	93	87	118	76	49
1	4	9	25	44	71	92	101	104	96	49
1	3	9	23	46	69	90	113	107	106	49
1	5	7	24	47	71	93	113	63	90	49
1	5	8	24	48	70	94	119	103	99	49
1	5	9	24	49	71	93	109	113	92	49
1	4	10	24	46	69	89	117	113	75	49
1	5	9	23	46	71	94	118	132	90	49
1	5	10	22	48	70	92	119	108	89	49
1	5	10	25	49	67	96	107	120	95	49
1	4	10	25	48	73	94	103	122	80	49
1	5	10	23	45	67	93	103	122	64	49
1	5	10	23	45	73	89	118	94	87	49
1	5	8	24	49	71	97	118	132	120	49
1	5	9	23	48	70	92	87	116	113	49
1	5	10	22	48	71	87	115	81	98	49
1	5	10	23	47	71	95	118	111	88	49
1	5	9	24	47	69	94	98	113	63	49
1	4	9	23	45	71	95	117	90	95	49
1	5	10	23	48	68	91	117	103	91	49
1	5	10	24	47	71	96	115	133	74	49
1	5	10	24	48	70	93	102	133	89	49
1	5	8	23	49	71	94	115	110	111	49
1	5	10	24	45	70	92	103	105	100	49
1	5	9	24	47	71	97	116	133	80	49
1	5	9	24	47	72	94	98	66	80	49
1	5	10	23	49	72	94	106	70	79	49
1	5	10	24	48	73	93	113	118	61	49
1	5	9	21	48	71	95	118	132	83	49
1	4	10	23	48	71	91	118	109	71	49
1	5	9	23	49	70	95	119	94	76	49
1	5	10	25	48	72	95	121	108	93	49
1	4	9	23	47	71	93	117	113	93	49
1	5	10	23	45	70	89	118	114	64	49
1	5	9	23	47	72	97	119	117	123	49
1	5	9	22	48	73	93	118	103	90	49
1	5	10	25	48	71	93	100	83	97	49
1	4	10	22	48	70	94	120	133	86	49
1	5	9	25	46	71	93	117	106	77	49
0	4	9	25	48	71	95	118	83	87	49
1	5	10	24	46	72	90	119	133	72	49
1	4	8	23	48	71	94	118	73	84	49
1	5	8	25	48	73	94	84	66	90	49
1	5	9	24	46	72	95	118	114	106	49
1	5	8	24	46	71	93	117	68	65	49
1	4	10	23	46	72	94	113	93	70	49
1	4	9	22	49	72	92	122	100	90	49
1	5	10	25	46	72	94	118	83	95	49
1	5	10	22	47	72	96	113	95	68	49
1	4	10	24	48	66	96	109	104	65	49
1	5	8	25	46	68	95	119	110	84	49
1	5	8	24	49	74	92	118	97	89	49
1	5	9	23	48	71	94	117	122	76	49
1	5	10	24	46	70	89	118	84	79	49
1	4	10	24	47	72	96	115	102	61	49
1	5	9	24	45	71	94	121	88	96	49
