G: 0.00017011, SA: 0.98966539, diff: 0.98949528, Winner: SA
G: 1.23920129, SA: 1.23642593, diff: 0.0027753600000000045, Winner: G
G: 1.0287766, SA: 0.9401271, diff: 0.08864950000000005, Winner: G
G: 9.91e-05, SA: 0.98278574, diff: 0.98268664, Winner: SA
G: 1.13112591, SA: 0.0, diff: 1.13112591, Winner: G
G: 1.11057958, SA: 1.301658, diff: 0.19107841999999997, Winner: SA
G: 0.00010985, SA: 0.0, diff: 0.00010985, Winner: G
G: 1.00069713, SA: 0.99131187, diff: 0.009385260000000062, Winner: G
G: 1.30949036, SA: 1.55459514, diff: 0.2451047799999999, Winner: SA
G: 1.57752725, SA: 0.99458479, diff: 0.5829424599999999, Winner: G
G: 1.01655686, SA: 1.01521354, diff: 0.0013433199999999257, Winner: G
G: 1.00070899, SA: 0.95233921, diff: 0.04836977999999992, Winner: G
G: 1.0160006, SA: 1.37403967, diff: 0.35803907, Winner: SA
G: 1.0354014, SA: 1.03444812, diff: 0.0009532800000000563, Winner: G
G: 1.00820327, SA: 0.9877244, diff: 0.02047887000000015, Winner: G
SA wins: 28, G wins: 72, Ties: 0
