0.47354649 -0.25505024 6.80700225 7.45111243 0.00000000	(0)
9.75908661 6.52342825 4.31508754 5.89529075 0.00000000	(1)
2.03976708 6.66927079 6.45584274 11.43750731 0.00000000	(2)
2.14510468 9.37082378 6.78027446 -1.21843915 0.00000000	(3)
11.25784436 11.83178379 9.61771189 1.87818984 0.00000000	(4)
10.54130514 2.12833683 7.31743353 3.36160729 0.00000000	(5)
7.31262830 3.09596606 -1.13174348 -0.66309728 0.00000000	(6)
4.13129735 7.92290905 7.19116705 -2.62857687 0.00000000	(7)
11.22389592 6.66017082 4.08530237 6.77256832 0.00000000	(8)
-3.87715975 9.54567244 12.40802949 7.92981735 0.00000000	(9)
7.42637438 8.77896516 2.58066085 12.59194640 0.00000000	(10)
6.71318940 5.09878703 8.17398265 5.47872293 0.99909324	(11)
3.66731857 -0.14662545 8.13833011 7.99723792 0.00000000	(12)
0.81687717 4.41090655 8.16936494 4.10246171 0.99887107	(13)
2.88893132 14.52983990 4.66826378 2.33618605 0.00000000	(14)
5.52411442 9.40346935 0.20481575 8.87351285 0.99830785	(15)
4.02389515 11.59932850 3.93137819 -2.16014558 0.00000000	(16)
2.18116171 3.87963908 4.28226311 6.14374164 0.99761826	(17)
4.01622045 7.17858986 2.79024305 0.82297325 0.99910222	(18)
1.46176562 0.59379885 3.76393670 3.00953177 0.00000000	(19)
5.19838667 2.30373994 3.90845246 -1.80714498 0.00000000	(20)
4.01998066 2.95171294 3.26147287 -4.39530292 0.00000000	(21)
-1.85750581 -4.29969990 2.05921093 6.57136023 0.00000000	(22)
5.40790440 6.85356121 6.18808024 7.42595574 0.99613647	(23)
0.64758736 5.85595993 9.96222976 2.84720053 0.00000000	(24)
8.09203072 3.21200995 7.91347229 5.26683255 0.00000000	(25)
2.13035372 6.52389335 1.42630693 11.84021887 0.00000000	(26)
3.56921643 11.70520633 -1.38918968 3.81259147 0.00000000	(27)
1.69229706 5.60895546 3.90396448 7.81848863 0.00000001	(28)
4.76049849 10.96640091 4.93816039 2.50793168 0.00000000	(29)
5.36260207 5.77397708 3.06931406 13.55960692 0.00000000	(30)
8.80724726 4.67400650 4.44712683 1.53775536 0.00004539	(31)
8.49168378 9.56149617 -1.45821458 5.74616791 0.00000000	(32)
-1.93871240 -1.73325890 11.31367779 4.03041717 0.00000000	(33)
0.31168730 1.22557549 7.75504158 5.31161497 0.00000000	(34)
8.81783248 1.55548543 5.62536567 2.83113770 0.00000000	(35)
9.86033907 13.91544590 3.52834528 5.91263704 0.00000000	(36)
3.51399238 6.73475225 2.70846039 7.05234465 0.00000007	(37)
7.35550762 6.71269884 4.02323824 5.22397095 0.99821524	(38)
12.45257209 5.87575338 -0.71247554 5.60124229 0.00000000	(39)
2.10729016 7.78890570 7.97361459 1.74859849 0.99833436	(40)
1.10846459 3.54951616 4.93518950 -1.84129077 0.00000000	(41)
7.73507796 4.35392892 8.59063191 7.00112121 0.99799237	(42)
6.95591821 10.82272948 4.92961218 14.48586399 0.00000000	(43)
1.66264751 8.62063895 1.62628685 3.38368508 0.99613971	(44)
-5.96366087 1.46440675 9.15131252 -5.80357530 0.00000000	(45)
-3.12461136 5.22441006 1.24764496 4.19721803 0.00000000	(46)
2.70172335 5.12028375 0.61145358 1.40334937 0.00000000	(47)
-1.61837617 9.39216525 13.03357429 4.22038911 0.00000000	(48)
5.53849909 10.07739542 0.34743165 1.02007371 0.00000000	(49)
8.37090018 5.96388251 9.75412873 1.81327165 0.00000000	(50)
8.21007431 6.04158695 -0.28477758 0.96218432 0.00000000	(51)
0.04667431 6.69270980 2.38737323 3.50869906 0.00000000	(52)
1.16486827 -2.34938505 -1.18472504 10.24750714 0.00000000	(53)
4.85355786 17.14543821 -2.21083733 -6.10878733 0.00000000	(54)
3.90489173 5.40151482 -4.92704172 3.23510061 0.00000000	(55)
5.48038808 2.35936546 6.07456354 3.58801795 0.99843674	(56)
10.39665356 6.41138165 13.81494464 1.92514876 0.00000000	(57)
5.96546156 -0.72731062 6.62931060 -3.07567744 0.00000000	(58)
-1.93092364 -1.39396812 7.76336823 11.70284607 0.00000000	(59)
2.07673501 -5.59518641 1.15080985 6.05601755 0.00000000	(60)
8.14076549 2.33730601 13.09629898 10.21585530 0.00000000	(61)
8.25248363 2.35814968 8.30095488 0.21067731 0.99882937	(62)
1.41043034 10.24558490 4.31645921 9.40457804 0.00000000	(63)
6.23535620 8.39498765 4.95225527 1.51356218 0.00000000	(64)
9.55689389 12.79555012 -5.11761892 2.54321162 0.00000000	(65)
0.80044902 10.67281143 13.25928947 -3.90520780 0.00000000	(66)
3.35257354 3.75684987 2.28601535 3.33851164 0.99855313	(67)
2.47815790 3.31840540 8.51537968 0.63671798 0.00000000	(68)
0.06246165 6.80034376 7.89124086 7.05942244 0.99848150	(69)
-2.15768232 3.76068372 5.60473668 5.12290133 0.00000000	(70)
1.97516373 0.44094531 5.22229455 2.00523426 0.99513441	(71)
9.42602279 2.54698599 6.34448654 2.02176883 0.00030894	(72)
13.63192195 -0.52777347 -1.76705284 4.58807206 0.00000000	(73)
0.35510516 1.83575948 4.54300306 1.89034240 0.00000000	(74)
1.34504113 7.89738042 -5.67108328 4.53707237 0.00000000	(75)
9.94944497 5.26333928 7.33299384 7.77016604 0.00000000	(76)
7.05294644 1.63050177 8.77274593 1.59907921 0.99862024	(77)
1.12062616 2.22116825 2.90217203 5.85260090 0.00000000	(78)
7.32630837 -3.37535604 6.03084347 8.66458797 0.00000000	(79)
2.91111477 0.06977962 3.41592247 -1.64061358 0.00000000	(80)
11.50045131 9.72138596 6.35224470 11.86945517 0.00000000	(81)
8.66040817 0.79278337 1.04334237 4.98328346 0.99828511	(82)
4.18210270 3.58219376 3.95214975 -1.74741450 0.00000000	(83)
6.23611420 11.63470086 -1.08178809 7.04718230 0.00000000	(84)
9.55165855 -0.27717324 3.58590847 7.19191321 0.00000000	(85)
5.09649037 7.49997377 3.08696760 -7.52043523 0.00000000	(86)
-3.88603699 2.19753733 11.34580026 8.99862812 0.00000000	(87)
7.18747324 6.84294382 8.03388936 14.67162404 0.00000000	(88)
5.37721460 8.99275904 7.76388745 6.63451125 0.99819374	(89)
3.59424825 9.05806149 7.41653590 13.74880850 0.00000000	(90)
-2.74114134 4.67035767 11.56499708 7.12317011 0.00000000	(91)
8.28971991 15.94898305 1.11868013 5.59511969 0.00000000	(92)
9.86947232 5.41902194 4.55040119 4.33119641 0.99748296	(93)
3.25116358 0.52855340 10.42217322 6.23965154 0.00000000	(94)
7.92067465 4.16943853 2.56675364 4.97165065 0.99910362	(95)
7.79241432 4.79982319 -4.07958319 11.06150704 0.00000000	(96)
1.78521104 7.49557929 0.32117541 0.50367688 0.99855754	(97)
5.16900965 8.09245173 4.44877032 10.17286059 0.00000000	(98)
0.86711630 9.01258684 1.21252528 14.55060951 0.00000000	(99)
