7.87098307 2.39369443 8.76484231 0.58568035 3.36117061 0.00000000	(0)
6.83286906 7.87096942 1.91616259 8.02364161 1.91323926 0.00013231	(1)
7.01949476 4.56430621 8.97734147 8.35183205 3.85095134 0.00000104	(2)
4.79683924 1.46334570 6.98426345 2.91978616 8.71139150 0.00000000	(3)
7.39473243 0.41968037 9.15057201 5.37170851 8.20267804 0.00000000	(4)
0.85825791 8.44926801 3.67880739 9.51022981 3.99425262 0.00000000	(5)
0.05313159 6.92619621 7.99769674 9.73624940 1.50664129 0.00000000	(6)
3.61264059 5.98184067 0.59251642 3.87631801 3.23036346 0.00000002	(7)
4.49165163 5.09974008 5.65027940 7.04190715 2.41819987 0.00006961	(8)
2.67468359 1.69392813 7.66467257 6.72675253 8.00249351 0.00000000	(9)
2.33090474 7.67241017 9.87124272 8.08001079 8.42965644 0.00000000	(10)
4.59715980 6.91039916 0.54668061 0.34050279 8.45890106 0.00000000	(11)
9.06083870 2.82640411 2.22213898 9.46968205 9.43116677 0.00000000	(12)
9.45712562 8.74869662 3.71643635 2.67770074 5.29811983 0.00000000	(13)
8.44963696 4.29985465 0.47067804 2.28595252 0.74806658 0.00000000	(14)
7.74517441 8.68803993 5.65993315 3.39514287 8.54388108 0.00000000	(15)
7.35759997 5.23201351 7.64647630 8.02591138 6.66642855 0.00000000	(16)
7.16095279 4.89453734 8.41497998 3.47950705 5.48045023 0.00000000	(17)
1.34793921 7.51888798 3.40312763 3.48103144 3.45365278 0.00000000	(18)
1.29164153 8.30862961 4.99009210 5.56635510 5.08271928 0.99999975	(19)
4.46388326 3.03908158 0.39898961 2.44533198 3.27001310 0.00000061	(20)
6.45683907 9.72558904 7.08380264 0.76738223 5.91511262 0.00000019	(21)
6.99352442 9.52716638 9.33969319 4.91313832 8.52535648 0.00000000	(22)
3.31294621 3.98635390 9.92445445 3.09027314 7.82510767 0.00000000	(23)
1.02368290 0.96089661 7.18235622 8.27313635 6.87406173 0.00000000	(24)
0.82897385 9.37560987 4.74390293 2.23252215 7.00946760 0.00000000	(25)
6.83151904 4.85368568 5.59724854 9.27096800 5.96197946 0.00000000	(26)
1.40282782 0.56191714 6.46034132 9.19677925 0.20323384 0.00000000	(27)
9.62538912 6.06131998 5.31929302 9.95544123 9.36467330 0.00000280	(28)
0.44181745 5.07243834 4.61852900 2.00419661 9.06772424 0.00000006	(29)
8.96239614 3.91163469 4.14982243 4.42957527 1.73795398 0.00000000	(30)
2.47898978 6.18932752 0.31208273 4.24824775 7.53515750 0.00000000	(31)
3.39201608 9.90976104 4.97663816 9.30348926 4.94430079 0.00000000	(32)
2.99420929 1.32565567 7.46945194 4.72649427 1.81949656 0.00000000	(33)
9.20290720 3.39408938 6.48115363 1.71874824 5.49537885 0.00000000	(34)
3.46362299 1.54730162 5.27369693 1.49444932 8.09197103 0.00000011	(35)
3.95754900 4.94376850 5.48899434 8.61187230 8.72836125 0.00000000	(36)
7.42302644 0.32563458 2.56061547 1.19586209 7.16389973 0.00000000	(37)
0.69148504 2.33049743 1.86431006 2.16038516 7.89175222 0.00000000	(38)
2.97827226 7.07787391 2.32745830 7.34107722 5.18254811 0.00000000	(39)
0.53537463 4.80306252 3.88819717 1.34799507 1.01750590 0.00000000	(40)
3.48427313 8.37464544 8.96980545 2.27876753 1.63688675 0.99999975	(41)
1.99908202 0.07362270 7.86924378 6.64850857 7.05165379 0.00000000	(42)
3.20480092 4.24499193 6.12165607 1.51531830 0.03961364 0.00000026	(43)
7.23704264 4.31133713 3.25490708 6.96871802 3.83127831 0.00000052	(44)
3.19130253 4.36306865 3.74938502 8.74288954 3.15987021 0.00000000	(45)
5.76606601 1.58155662 0.99837819 4.91103191 1.33443546 0.00008044	(46)
9.45616088 4.84822411 7.20139115 5.61383382 5.44729335 0.00000000	(47)
3.72507890 9.57446872 5.97797170 9.91122188 9.44301995 0.00000000	(48)
8.84302952 2.89505193 7.13614451 7.68946907 1.23856150 0.00000000	(49)
9.04628196 1.90965432 4.14428430 4.18944558 6.32036935 0.00000179	(50)
0.22470350 3.07122581 0.30036822 8.18577960 0.80887734 0.00000000	(51)
5.20889098 5.05270778 2.91991731 1.90507524 7.12562364 0.00000345	(52)
6.07836611 7.03904344 3.88015260 9.80555032 5.12943533 0.00000003	(53)
2.71002141 8.62499599 9.69107134 0.19114527 0.35211673 0.00000000	(54)
6.60606436 2.83981723 1.85420240 6.27931367 9.57793920 0.00000000	(55)
5.23191026 9.05869097 3.51639779 2.01460998 6.15571528 0.00001214	(56)
6.09016192 7.62534227 5.95429895 2.03938318 8.93363078 0.00000000	(57)
9.62149979 9.20097279 8.44359996 0.72269264 1.34550971 0.00000000	(58)
3.27308962 2.20252956 5.51983371 3.64947457 4.20349547 0.00000000	(59)
5.45745549 3.28638987 7.95576667 6.14150436 0.15707946 0.00000000	(60)
1.11493230 8.13606746 1.29776853 6.08605587 3.66590480 0.00000000	(61)
7.79655919 4.65066866 3.27573422 6.16026032 1.59090323 0.00000000	(62)
0.93578251 6.76866507 7.76772398 0.35699544 3.54882812 0.00000000	(63)
5.77769355 7.64172259 6.95936977 5.49035953 5.36215881 0.00007258	(64)
2.01138397 8.93246958 1.29539770 5.51000897 0.02390276 0.00001400	(65)
